Team Name,City,State,League,Division,Home Stadium,Founded,Map Label
Arizona Diamondbacks,Phoenix,Arizona,National League,West,Chase Field,1998,Arizona Diamondbacks (National League - West)
Atlanta Braves,Cumberland,Georgia,National League,East,Truist Park,1871,Atlanta Braves (National League - East)
Baltimore Orioles,Baltimore,Maryland,American League,East,Oriole Park at Camden Yards,1894,Baltimore Orioles (American League - East)
Boston Red Sox,Boston,Massachusetts,American League,East,Fenway Park,1901,Boston Red Sox (American League - East)
Chicago Cubs,Chicago,Illinois,National League,Central,Wrigley Field,1870,Chicago Cubs (National League - Central)
Chicago White Sox,Chicago,Illinois,American League,Central,Guaranteed Rate Field,1901,Chicago White Sox (American League - Central)
Cincinnati Reds,Cincinnati,Ohio,National League,Central,Great American Ball Park,1882,Cincinnati Reds (National League - Central)
Cleveland Guardians,Cleveland,Ohio,American League,Central,Progressive Field,1901,Cleveland Guardians (American League - Central)
Colorado Rockies,Denver,Colorado,National League,West,Coors Field,1993,Colorado Rockies (National League - West)
Detroit Tigers,Detroit,Michigan,American League,Central,Comerica Park,1894,Detroit Tigers (American League - Central)
Houston Astros,Houston,Texas,American League,West,Minute Maid Park,1962,Houston Astros (American League - West)
Kansas City Royals,Kansas City,Missouri,American League,Central,Kauffman Stadium,1969,Kansas City Royals (American League - Central)
Los Angeles Angels,Anaheim,California,American League,West,Angel Stadium of Anaheim,1961,Los Angeles Angels (American League - West)
Los Angeles Dodgers,Los Angeles,California,National League,West,Dodger Stadium,1884,Los Angeles Dodgers (National League - West)
Miami Marlins,Miami,Florida,National League,East,loanDepot Park,1993,Miami Marlins (National League - East)
Milwaukee Brewers,Milwaukee,Wisconsin,National League,Central,American Family Field,1969,Milwaukee Brewers (National League - Central)
Minnesota Twins,Minneapolis,Minnesota,American League,Central,Target Field,1901,Minnesota Twins (American League - Central)
New York Mets,Queens,New York,National League,East,Citi Field,1962,New York Mets (National League - East)
New York Yankees,Bronx,New York,American League,East,Yankee Stadium,1901,New York Yankees (American League - East)
Oakland Athletics,Oakland,California,American League,West,Oakland Coliseum,1901,Oakland Athletics (American League - West)
Philadelphia Phillies,Philadelphia,Pennsylvania,National League,East,Citizens Bank Park,1883,Philadelphia Phillies (National League - East)
Pittsburgh Pirates,Pittsburgh,Pennsylvania,National League,Central,PNC Park,1882,Pittsburgh Pirates (National League - Central)
San Diego Padres,San Diego,California,National League,West,Petco Park,1969,San Diego Padres (National League - West)
San Francisco Giants,San Francisco,California,National League,West,Oracle Park,1883,San Francisco Giants (National League - West)
Seattle Mariners,Seattle,Washington,American League,West,T-Mobile Park,1977,Seattle Mariners (American League - West)
St. Louis Cardinals,St. Louis,Missouri,National League,Central,Busch Stadium,1882,St. Louis Cardinals (National League - Central)
Tampa Bay Rays,St. Petersburg,Florida,American League,East,Tropicana Field,1998,Tampa Bay Rays (American League - East)
Texas Rangers,Arlington,Texas,American League,West,Globe Life Field,1961,Texas Rangers (American League - West)
Toronto Blue Jays,Toronto,Ontario,American League,East,Rogers Centre,1977,Toronto Blue Jays (American League - East)
Washington Nationals,Washington,D.C.,National League,East,Nationals Park,1969,Washington Nationals (National League - East)
