Team Name,City,State,League,Division,Home Stadium,Founded,Location,Coordinates,Latitude,Longitude
Arizona Diamondbacks,Phoenix,Arizona,National,West,Chase Field,1998,"Phoenix, Arizona","Phoenix, Maricopa County, Arizona, United States",33.4484367,-112.074141
Atlanta Braves,Cumberland,Georgia,National,East,Truist Park,1871,"Cumberland, Georgia","Cumberland, Oconee County, Georgia, United States",33.8502896,-83.4622057
Baltimore Orioles,Baltimore,Maryland,American,East,Oriole Park at Camden Yards,1894,"Baltimore, Maryland","Baltimore, Maryland, United States",39.2908816,-76.610759
Boston Red Sox,Boston,Massachusetts,American,East,Fenway Park,1901,"Boston, Massachusetts","Boston, Suffolk County, Massachusetts, United States",42.3554334,-71.060511
Chicago Cubs,Chicago,Illinois,National,Central,Wrigley Field,1870,"Chicago, Illinois","Chicago, Cook County, Illinois, United States",41.8755616,-87.6244212
Chicago White Sox,Chicago,Illinois,American,Central,Guaranteed Rate Field,1901,"Chicago, Illinois","Chicago, Cook County, Illinois, United States",41.8755616,-87.6244212
Cincinnati Reds,Cincinnati,Ohio,National,Central,Great American Ball Park,1882,"Cincinnati, Ohio","Cincinnati, Hamilton County, Ohio, United States",39.1014537,-84.5124602
Cleveland Guardians,Cleveland,Ohio,American,Central,Progressive Field,1901,"Cleveland, Ohio","Cleveland, Cuyahoga County, Ohio, United States",41.4996574,-81.6936772
Colorado Rockies,Denver,Colorado,National,West,Coors Field,1993,"Denver, Colorado","Denver, Colorado, United States",39.7392364,-104.984862
Detroit Tigers,Detroit,Michigan,American,Central,Comerica Park,1894,"Detroit, Michigan","Detroit, Wayne County, Michigan, United States",42.3315509,-83.0466403
Houston Astros,Houston,Texas,American,West,Minute Maid Park,1962,"Houston, Texas","Houston, Harris County, Texas, United States",29.7589382,-95.3676974
Kansas City Royals,Kansas City,Missouri,American,Central,Kauffman Stadium,1969,"Kansas City, Missouri","Kansas City, Jackson County, Missouri, United States",39.100105,-94.5781416
Los Angeles Angels,Anaheim,California,American,West,Angel Stadium of Anaheim,1961,"Anaheim, California","Anaheim, Orange County, California, United States",33.8347516,-117.911732
Los Angeles Dodgers,Los Angeles,California,National,West,Dodger Stadium,1884,"Los Angeles, California","Los Angeles, Los Angeles County, California, United States",34.0536909,-118.242766
Miami Marlins,Miami,Florida,National,East,loanDepot Park,1993,"Miami, Florida","Miami, Miami-Dade County, Florida, United States",25.7741728,-80.19362
Milwaukee Brewers,Milwaukee,Wisconsin,National,Central,American Family Field,1969,"Milwaukee, Wisconsin","Milwaukee, Milwaukee County, Wisconsin, United States",43.0386475,-87.9090751
Minnesota Twins,Minneapolis,Minnesota,American,Central,Target Field,1901,"Minneapolis, Minnesota","Minneapolis, Hennepin County, Minnesota, United States",44.9772995,-93.2654692
New York Mets,Queens,New York,National,East,Citi Field,1962,"Queens, New York","Queens, Queens County, City of New York, New York, United States",40.7135078,-73.8283132
New York Yankees,Bronx,New York,American,East,Yankee Stadium,1901,"Bronx, New York","The Bronx, Bronx County, City of New York, New York, United States",40.8466508,-73.8785937
Oakland Athletics,Oakland,California,American,West,Oakland Coliseum,1901,"Oakland, California","Oakland, Alameda County, California, United States",37.8044557,-122.271356
Philadelphia Phillies,Philadelphia,Pennsylvania,National,East,Citizens Bank Park,1883,"Philadelphia, Pennsylvania","Philadelphia, Philadelphia County, Pennsylvania, United States",39.9527237,-75.1635262
Pittsburgh Pirates,Pittsburgh,Pennsylvania,National,Central,PNC Park,1882,"Pittsburgh, Pennsylvania","Pittsburgh, Allegheny County, Pennsylvania, United States",40.4416941,-79.9900861
San Diego Padres,San Diego,California,National,West,Petco Park,1969,"San Diego, California","San Diego, San Diego County, California, United States",32.7174202,-117.162772
San Francisco Giants,San Francisco,California,National,West,Oracle Park,1883,"San Francisco, California","San Francisco, California, United States",37.7792588,-122.4193286
Seattle Mariners,Seattle,Washington,American,West,T-Mobile Park,1977,"Seattle, Washington","Seattle, King County, Washington, United States",47.6038321,-122.330062
St. Louis Cardinals,St. Louis,Missouri,National,Central,Busch Stadium,1882,"St. Louis, Missouri","Saint Louis, Missouri, United States",38.6280278,-90.1910154
Tampa Bay Rays,St. Petersburg,Florida,American,East,Tropicana Field,1998,"St. Petersburg, Florida","Saint Petersburg, Pinellas County, Florida, United States",27.7700475,-82.6359078
Texas Rangers,Arlington,Texas,American,West,Globe Life Field,1961,"Arlington, Texas","Arlington, Tarrant County, Texas, United States",32.7355816,-97.1071186
Toronto Blue Jays,Toronto,Ontario,American,East,Rogers Centre,1977,"Toronto, Ontario","Toronto, Golden Horseshoe, Ontario, Canada",43.6534817,-79.3839347
Washington Nationals,Washington,D.C.,National,East,Nationals Park,1969,"Washington, D.C.","Washington, District of Columbia, United States",38.8950368,-77.0365427
